epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,8755.28,0.34716,0.21316,0.99545,0.99112,0.99395,0.99025,0.96148,0.2974,0.1497,0.89511,0.000892,0.000892,0.000892
186,8802.73,0.34071,0.20424,0.98895,0.99112,0.99395,0.99014,0.96212,0.29696,0.14939,0.89514,0.0008425,0.0008425,0.0008425
187,8850.05,0.34104,0.20414,0.98763,0.99112,0.99395,0.99021,0.96258,0.29677,0.14891,0.89511,0.000793,0.000793,0.000793
188,8897.48,0.34252,0.20854,0.99154,0.99112,0.99395,0.9901,0.96274,0.29702,0.14826,0.89516,0.0007435,0.0007435,0.0007435
189,8944.62,0.34086,0.21084,0.99075,0.99112,0.99395,0.99028,0.96231,0.29702,0.14848,0.89511,0.000694,0.000694,0.000694
190,8991.78,inf,0.20693,0.99082,0.99111,0.99395,0.99034,0.96308,0.29738,0.14854,0.89518,0.0006445,0.0006445,0.0006445
191,9039.91,0.28846,0.16993,0.92219,0.99111,0.99395,0.99053,0.9627,0.29703,0.14838,0.8946,0.000595,0.000595,0.000595
192,9086.83,0.28069,0.16548,0.91775,0.99111,0.99395,0.99054,0.96274,0.29643,0.14847,0.89397,0.0005455,0.0005455,0.0005455
193,9133.7,0.27977,0.1647,0.91467,0.99112,0.99395,0.99054,0.96285,0.29593,0.14797,0.89309,0.000496,0.000496,0.000496
194,9180.64,0.28125,0.16415,0.91628,0.99112,0.99395,0.99054,0.96236,0.29586,0.14791,0.89255,0.0004465,0.0004465,0.0004465
195,9227.67,0.27854,0.1633,0.91244,0.99112,0.99395,0.9907,0.9627,0.2958,0.14742,0.89239,0.000397,0.000397,0.000397
196,9274.62,0.27815,0.16249,0.91593,0.99112,0.99395,0.9905,0.96248,0.29554,0.1478,0.89215,0.0003475,0.0003475,0.0003475
197,9321.53,0.27754,0.16135,0.91313,0.99112,0.99395,0.99016,0.96222,0.29545,0.14821,0.89189,0.000298,0.000298,0.000298
198,9368.45,0.27431,0.16044,0.91272,0.99113,0.99395,0.99007,0.96223,0.29532,0.14823,0.89179,0.0002485,0.0002485,0.0002485
199,9415.48,0.27443,0.16017,0.90918,0.99113,0.99395,0.98993,0.9621,0.29546,0.14807,0.89194,0.000199,0.000199,0.000199
200,9462.49,0.27723,0.16004,0.91309,0.99113,0.99395,0.98977,0.96185,0.29557,0.14741,0.89209,0.0001495,0.0001495,0.0001495
