epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2036.36,0.44235,0.29688,1.08308,0.98981,0.99383,0.99048,0.94761,0.33831,0.20201,0.93558,0.007921,0.007921,0.007921
44,2083.58,0.43805,0.29486,1.07516,0.99112,0.99269,0.98768,0.94648,0.32364,0.19998,0.92534,0.0078715,0.0078715,0.0078715
45,2130.84,0.43389,0.2936,1.07368,0.99082,0.99138,0.9883,0.94454,0.3364,0.19663,0.9429,0.007822,0.007822,0.007822
46,2178.23,0.4331,0.29408,1.07171,0.99109,0.99223,0.98961,0.94764,0.32435,0.19485,0.92797,0.0077725,0.0077725,0.0077725
47,2225.53,0.42959,0.28857,1.07057,0.99094,0.99358,0.99019,0.94816,0.3218,0.19149,0.92333,0.007723,0.007723,0.007723
48,2272.81,0.43041,0.29028,1.06571,0.99103,0.99387,0.9893,0.94755,0.32018,0.19035,0.92362,0.0076735,0.0076735,0.0076735
49,2320.1,0.42934,0.28756,1.06332,0.98876,0.9914,0.98885,0.94125,0.35465,0.21796,0.95595,0.007624,0.007624,0.007624
50,2367.34,0.42962,0.28929,1.06949,0.99088,0.99374,0.99164,0.9522,0.32175,0.19164,0.92659,0.0075745,0.0075745,0.0075745
51,2414.86,0.42897,0.28717,1.06821,0.99086,0.99223,0.98966,0.94825,0.31709,0.19235,0.9202,0.007525,0.007525,0.007525
52,2462.28,0.42929,0.28557,1.07039,0.99091,0.99382,0.9888,0.94738,0.31922,0.18222,0.91906,0.0074755,0.0074755,0.0074755
53,2509.66,0.42599,0.28152,1.06569,0.99108,0.99371,0.99208,0.95592,0.31769,0.18929,0.92383,0.007426,0.007426,0.007426
54,2556.92,0.43159,0.28525,1.06755,0.9912,0.99386,0.98883,0.9479,0.32159,0.18764,0.92584,0.0073765,0.0073765,0.0073765
55,2604.1,0.42714,0.28446,1.06762,0.99107,0.99388,0.98957,0.94889,0.32196,0.18242,0.92525,0.007327,0.007327,0.007327
56,2651.1,0.42301,0.28501,1.06282,0.99112,0.99379,0.98937,0.95083,0.31687,0.18375,0.91928,0.0072775,0.0072775,0.0072775
57,2698.12,0.42168,0.27955,1.05802,0.99112,0.99309,0.99011,0.95094,0.31936,0.18157,0.91887,0.007228,0.007228,0.007228
58,2745.17,0.42164,0.27995,1.05593,0.99113,0.99372,0.99173,0.95254,0.31643,0.17931,0.91614,0.0071785,0.0071785,0.0071785
59,2792.32,0.41825,0.28048,1.05511,0.99114,0.99395,0.99116,0.9538,0.31831,0.18089,0.91727,0.007129,0.007129,0.007129
60,2839.91,0.42004,0.27401,1.05698,0.99101,0.99309,0.99014,0.94999,0.31786,0.17734,0.91934,0.0070795,0.0070795,0.0070795
61,2887,0.41542,0.27672,1.05294,0.99086,0.99295,0.99087,0.95098,0.32224,0.18232,0.92358,0.00703,0.00703,0.00703
62,2934.31,0.41851,0.27702,1.05769,0.99012,0.99395,0.98937,0.95038,0.31968,0.17956,0.92144,0.0069805,0.0069805,0.0069805
63,2981.56,0.4176,0.27429,1.05486,0.99051,0.99309,0.98933,0.9468,0.32045,0.18079,0.92597,0.006931,0.006931,0.006931
64,3028.74,0.41488,0.27046,1.04999,0.99098,0.99309,0.98862,0.94994,0.31849,0.17741,0.9199,0.0068815,0.0068815,0.0068815
65,3076.06,0.41496,0.26961,1.05292,0.99115,0.99395,0.98855,0.95005,0.31339,0.17963,0.9179,0.006832,0.006832,0.006832
66,3123.4,0.41503,0.27699,1.05232,0.99114,0.99395,0.99009,0.95178,0.32197,0.17748,0.91999,0.0067825,0.0067825,0.0067825
67,3170.72,0.41337,0.27947,1.04842,0.99112,0.99395,0.99177,0.95357,0.31514,0.1791,0.91587,0.006733,0.006733,0.006733
68,3218.21,0.41407,0.2697,1.05054,0.9912,0.99379,0.99183,0.95551,0.31479,0.17981,0.92017,0.0066835,0.0066835,0.0066835
69,3265.39,0.41265,0.27388,1.05245,0.99113,0.99395,0.9895,0.95159,0.31795,0.17919,0.92012,0.006634,0.006634,0.006634
70,3312.47,0.41449,0.27262,1.05236,0.9911,0.99385,0.98895,0.94988,0.32511,0.17983,0.92528,0.0065845,0.0065845,0.0065845
71,3359.67,0.41001,0.26404,1.04739,0.9911,0.99395,0.99134,0.95319,0.3114,0.17411,0.91487,0.006535,0.006535,0.006535
72,3406.69,0.41182,0.26754,1.05142,0.99115,0.99395,0.99072,0.95302,0.31525,0.17833,0.92153,0.0064855,0.0064855,0.0064855
